GA,P_3,P_10,P_50,P_90,P_97
10,26.00,29.00,35.00,41.00,44.00
11,34.00,37.00,45.00,53.00,56.00
12,43.00,48.00,58.00,68.00,73.00
13,55.00,61.00,73.00,85.00,91.00
14,70.00,77.00,93.00,109.00,116.00
15,88.00,97.00,117.00,137.00,146.00
16,110.00,121.00,146.00,171.00,183.00
17,136.00,150.00,181.00,212.00,226.00
18,167.00,185.00,223.00,261.00,279.00
19,205.00,227.00,273.00,319.00,341.00
20,248.00,275.00,331.00,387.00,414.00
21,299.00,331.00,399.00,467.00,499.00
22,359.00,398.00,478.00,559.00,598.00
23,426.00,471.00,568.00,665.00,710.00
24,503.00,556.00,670.00,784.00,838.00
25,589.00,652.00,785.00,918.00,981.00
26,685.00,758.00,913.00,1068.00,1141.00
27,791.00,876.00,1055.00,1234.00,1319.00
28,908.00,1004.00,1210.00,1416.00,1513.00
29,1034.00,1145.00,1379.00,1613.00,1724.00
30,1169.00,1294.00,1559.00,1824.00,1649.00
31,1313.00,1453.00,1751.00,2049.00,2189.00
32,1465.00,1621.00,1953.00,2285.00,2441.00
33,1622.00,1794.00,2162.00,2530.00,2703.00
34,1783.00,1973.00,2377.00,2781.00,2971.00
35,1946.00,2154.00,2595.00,3036.00,3244.00
36,2110.00,2335.00,2813.00,3291.00,3516.00
37,2271.00,2513.00,3028.00,3543.00,3785.00
38,2427.00,2686.00,3236.00,3786.00,4045.00
39,2576.00,2851.00,3435.00,4019.00,4294.00
40,2714.00,3004.00,3619.00,4234.00,4524.00
